date,region,platform,campaign_id,campaign_name,spend_usd,impressions,clicks
2026-05-06,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,12.08,586,15
2026-05-07,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,26.88,1140,49
2026-05-07,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,7.79,394,7
2026-05-07,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,28.2,1078,19
2026-05-07,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,16.06,911,22
2026-05-07,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,23.44,1166,30
2026-05-08,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,23.13,1089,39
2026-05-08,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,4.65,248,7
2026-05-08,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,23.25,1124,39
2026-05-08,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,16.52,597,20
2026-05-08,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,14.32,529,21
2026-05-09,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,20.29,783,18
2026-05-09,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,13.84,595,14
2026-05-09,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,7.12,317,13
2026-05-09,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,21.64,1099,36
2026-05-09,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,10.38,483,7
2026-05-10,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,10.18,456,14
2026-05-10,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,17.81,839,23
2026-05-10,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,8.48,420,17
2026-05-10,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,24.53,1102,19
2026-05-10,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,16.45,829,20
2026-05-11,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,28.38,1450,50
2026-05-11,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,9.76,406,6
2026-05-11,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,12.72,664,26
2026-05-11,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,6.14,296,10
2026-05-11,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,10.15,511,15
2026-05-12,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,9.8,439,6
2026-05-12,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,27.56,1296,23
2026-05-12,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,15.73,626,27
2026-05-12,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,15.75,597,13
2026-05-12,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,30.85,1550,60
2026-05-13,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,21.14,1120,36
2026-05-13,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,34.57,1990,66
2026-05-13,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,24.49,1271,50
2026-05-13,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,18.08,902,33
2026-05-13,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,14.69,640,14
2026-05-14,us,meta_ads,cmp_meta_us_01,crunchy-mom-lookalike-3pct,20.07,1207,36
2026-05-14,us,meta_ads,cmp_meta_us_02,new-parent-interest-aug26,22.78,1090,18
2026-05-14,us,meta_ads,cmp_meta_us_03,gift-buyer-retargeting,12.68,498,12
2026-05-14,eu,meta_ads,cmp_meta_eu_01,eu-crunchy-mom-de-fr-uk,20.64,681,14
2026-05-14,eu,meta_ads,cmp_meta_eu_02,eu-baby-shower-gift,22.9,1340,22
